Cluster method: average
Distance      : correlation

Estimates on edges:

        au      bp   se.au   se.bp        v        c    pchi
1  1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
2  0.74773 0.80139 0.02767 0.00420 -0.75698 -0.08963 0.94739
3  1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
4  1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
5  0.97051 0.92138 0.00721 0.00299 -1.65136  0.23697 0.35265
6  0.75915 0.74851 0.02582 0.00456 -0.68669  0.01688 0.25684
7  0.93444 0.92238 0.01374 0.00293 -1.46549  0.04422 0.38762
8  0.78570 0.75999 0.02418 0.00449 -0.74892  0.04266 0.25111
9  1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
10 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
11 0.75184 0.67912 0.02511 0.00489 -0.57277  0.10753 0.20943
12 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
13 0.99314 0.98439 0.00339 0.00149 -2.30933  0.15505 0.80827
14 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
15 0.83713 0.99882 0.23547 0.00102 -2.01193 -1.02920 1.00000
16 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
17 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
18 0.99937 0.99942 0.00169 0.00043 -3.23651 -0.01034 0.86786
19 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
20 0.74100 0.51929 0.02493 0.00520 -0.34740  0.29902 0.82969
21 0.75382 0.66954 0.02489 0.00492 -0.56260  0.12396 0.18165
22 0.55850 0.22121 0.03398 0.00431  0.31047  0.45765 0.44060
23 0.74350 0.25284 0.02754 0.00450  0.00569  0.65987 0.84083
24 0.87546 0.54066 0.01593 0.00521 -0.62733  0.52524 0.29322
25 0.85265 0.60423 0.01794 0.00512 -0.65609  0.39178 0.78313
26 0.75085 0.55451 0.02446 0.00518 -0.40712  0.27005 0.52773
27 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
28 0.93472 0.76503 0.01062 0.00453 -1.11724  0.39467 0.59755
29 0.92296 0.99930 0.16895 0.00069 -2.30907 -0.88377 0.86617
30 0.85609 0.75815 0.01879 0.00453 -0.88164  0.18129 0.19710
31 0.99296 0.99373 0.00475 0.00097 -2.47610 -0.02072 0.62463
32 0.89517 0.90501 0.01860 0.00317 -1.28256 -0.02807 0.54881
33 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
34 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
35 0.94720 0.83662 0.00958 0.00398 -1.29949  0.31882 0.83379
36 0.77303 0.62915 0.02348 0.00505 -0.53923  0.20963 0.76495
37 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
38 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
39 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
40 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
41 0.99765 0.99953 0.00688 0.00041 -3.06607 -0.23960 0.98073
42 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
43 1.00000 0.99999 0.00001 0.00007 -4.56734  0.34069 1.00000
44 0.98310 0.95499 0.00532 0.00239 -1.90884  0.21350 0.46019
45 0.99979 0.99879 0.00044 0.00060 -3.28339  0.24953 0.86649
46 0.96153 0.77205 0.00698 0.00450 -1.25718  0.51156 0.40168
47 0.62912 0.39403 0.02958 0.00508 -0.03034  0.29917 0.93037
48 0.91442 0.81467 0.01358 0.00415 -1.13185  0.23663 0.34508
49 0.90187 0.47563 0.01358 0.00522 -0.61557  0.67669 0.01562
50 0.87379 0.79891 0.01778 0.00426 -0.99111  0.15338 0.23118
51 0.66365 0.61044 0.02834 0.00508 -0.35145  0.07099 0.37731
52 0.90736 0.32969 0.01375 0.00489 -0.44196  0.88274 0.07562
53 0.91406 0.49835 0.01230 0.00523 -0.68102  0.68516 0.37097
54 0.83280 0.40142 0.01983 0.00510 -0.35779  0.60748 0.81461
55 0.82443 0.45441 0.02015 0.00519 -0.40891  0.52345 0.15941
56 0.79670 0.29300 0.02359 0.00472 -0.14262  0.68726 0.08540
57 0.85327 0.16917 0.02235 0.00388 -0.04656  1.00401 0.57665
58 0.83038 0.20843 0.02299 0.00420 -0.07188  0.88377 0.63468
59 1.00000 1.00000 0.00000 0.00000  0.00000  0.00000 0.00000
