
Cluster method: average
Distance      : correlation

Estimates on edges:

       au    bp se.au se.bp      v      c  pchi
1   1.000 1.000 0.000 0.000  0.000  0.000 0.000
2   1.000 1.000 0.000 0.000  0.000  0.000 0.000
3   1.000 1.000 0.000 0.000  0.000  0.000 0.000
4   1.000 1.000 0.000 0.000  0.000  0.000 0.000
5   1.000 1.000 0.000 0.000  0.000  0.000 0.000
6   1.000 1.000 0.000 0.000  0.000  0.000 0.000
7   1.000 1.000 0.000 0.000  0.000  0.000 0.000
8   0.969 0.958 0.009 0.002 -1.797  0.074 0.060
9   1.000 1.000 0.000 0.000  0.000  0.000 0.000
10  0.906 0.785 0.014 0.004 -1.052  0.262 0.156
11  1.000 1.000 0.000 0.000  0.000  0.000 0.000
12  1.000 1.000 0.000 0.000  0.000  0.000 0.000
13  1.000 1.000 0.000 0.000  0.000  0.000 0.000
14  1.000 1.000 0.000 0.000  0.000  0.000 0.000
15  1.000 1.000 0.000 0.000  0.000  0.000 0.000
16  0.763 0.641 0.024 0.005 -0.539  0.177 0.517
17  0.903 0.743 0.014 0.005 -0.977  0.323 0.430
18  1.000 1.000 0.000 0.000  0.000  0.000 0.000
19  0.942 0.845 0.010 0.004 -1.295  0.279 0.444
20  1.000 1.000 0.000 0.000  0.000  0.000 0.000
21  0.965 0.987 0.016 0.001 -2.028 -0.213 0.164
22  1.000 1.000 0.000 0.000  0.000  0.000 0.000
23  1.000 1.000 0.000 0.000  0.000  0.000 0.000
24  1.000 1.000 0.000 0.000  0.000  0.000 0.000
25  0.982 0.999 0.030 0.000 -2.628 -0.522 0.712
26  1.000 1.000 0.000 0.000  0.000  0.000 0.000
27  1.000 1.000 0.000 0.000  0.000  0.000 0.000
28  1.000 1.000 0.000 0.000  0.000  0.000 0.000
29  1.000 1.000 0.000 0.000  0.000  0.000 0.000
30  1.000 1.000 0.000 0.000  0.000  0.000 0.000
31  0.996 0.999 0.010 0.001 -2.926 -0.285 0.522
32  1.000 1.000 0.000 0.000  0.000  0.000 0.000
33  1.000 1.000 0.000 0.000  0.000  0.000 0.000
34  0.997 0.991 0.002 0.001 -2.529  0.181 0.242
