name	cluster	subcluster	length	GC
244	E	E	74483	63.4
ABCat	E	E	76131	63
Abdiel	A	A4	51381	63.9
Abrogate	A	A1	52530	63.8
ABU	B	B1	68850	66.5
Acadian	B	B5	69864	68.4
Achebe	A	A4	51433	63.7
Adephagia	K	K1	59646	66.6
Adjutor	D	D1	64511	59.9
Adzzy	A	A2	52519	62.6
Aeneas	A	A1	53684	63.6
Aglet	A	A3	50866	64.1
Airmid	A	A5	51241	60
Akoma	B	B3	68711	67.5
Alice	C	C1	153401	64.7
Alma	A	A9	53177	62.5
Alsfro	A	A1	52136	63.6
Altwerkus	B	B1	68179	66.5
Amelie	K	K1	56439	67.1
Anaya	K	K1	60835	66.4
Angel	G	G	41441	66.7
Angelica	K	K1	59598	66.4
Anglerfish	A	A1	52379	63.5
AnnaL29	A	A1	53253	64.4
Annihilator	G	G	41893	66.6
Apizium	B	B1	68227	66.4
Aragog	A	A5	50812	60.8
Arbiter	B	B2	67169	68.9
Arcanine	A	A1	52273	63.7
ArcherS7	C	C1	156558	64.7
Archetta	A	A5	47409	60.6
Archie	L	L2	76271	58.7
Ardmore	F	F1	52141	61.5
Ares	B	B2	67436	69
Ariel	J	J	109801	61
Artemis2UCLA	A	A6	52344	61.4
Arturo	A	A4	51500	64.1
Astraea	C	C1	154872	64.7
Astro	A	A8	52494	61.4
Athena	B	B3	69409	67.5
Audrey	B	B3	68662	67.5
Ava3	C	C1	154466	64.8
Avani	F	F2	54470	61
Avrafan	G	G	41901	66.6
Babsiella	I	I1	48420	67.1
BabyRatchet	A	A3	50657	63.6
Bachome	A	A11	51653	63.7
Backyardigan	A	A4	51308	63.7
Badfish	B	B1	69030	66.5
BAKA	J	J	111688	60.7
Bangla1971	C	C1	154722	64.7
Banjo	B	B1	68296	66.5
Barnyard	H	H2	70797	57.5
BarrelRoll	K	K1	59672	66.6
Bask21	E	E	74997	62.9
Batiatus	F	F1	57737	61.8
BeanWater	C	C1	154061	64.7
BeesKnees	A	A1	51702	63.7
BEEST	K	K1	59906	66.6
BellusTerra	A	A4	51236	63.9
Benedict	A	A5	51083	59.8
Bernal13	T	T	42392	66.2
Bernardo	B	B3	68196	67.4
Bethlehem	A	A1	52250	63.2
BigMama	D	D1	64592	59.7
BigNuz	P	P	48984	66.7
BillKnuckles	A	A1	51821	63.4
Bipolar	F	F1	58985	61.4
